vslflgctry,year,quarter,month,area,rect,subrect,focatnat,focateu5,focateu6,harbour,vsllencat,trpnum,fonum,fodur,effkwdays,effgtdays,daysatsea
ITA,2020,3,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL1218,35,,,4997.56489100,679.15217390,35
ITA,2020,3,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL1824,109,,,41500.37727000,6546.54545500,109
ITA,2020,3,0,GSA18,NA,NA,PTM,NA,PTM_SPF_>=20_0_0,NA,VL2440,296,,,152409.25140000,26694.20000000,282
ITA,2020,4,0,GSA18,NA,NA,DRB,NA,DRB_MOL_0_0_0,NA,VL0612,192,,,17840.64000000,1657.60000000,192
ITA,2020,4,0,GSA18,NA,NA,DRB,NA,DRB_MOL_0_0_0,NA,VL1218,191,,,19515.88917000,2249.40391300,191
ITA,2020,4,0,GSA18,NA,NA,FPO,NA,FPO_DEF_>0_0_0,NA,VL0612,2925,,,44926.62219000,4099.81395300,2124
ITA,2020,4,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL0006,739,,,2226.48234900,739.00000000,739
ITA,2020,4,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL0612,4412,,,70535.09133000,6505.82619300,3224
ITA,2020,4,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL1218,5,,,576.81875000,61.87500000,5
ITA,2020,4,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0006,3287,,,9903.17656600,3287.00000000,3287
ITA,2020,4,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0612,1274,,,21540.38188000,1966.53733200,1017
ITA,2020,4,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL0612,21,,,444.18976740,40.53488372,21
ITA,2020,4,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1218,284,,,54249.96649000,5104.46195700,284
ITA,2020,4,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1824,22,,,6228.86409100,1136.68181800,22
ITA,2020,4,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL2440,10,,,4390.21428600,1070.00000000,10
ITA,2020,4,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL0612,464,,,7276.25142900,664.00000000,344
ITA,2020,4,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1218,285,,,56113.42971000,5102.36413000,285
ITA,2020,4,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1824,15,,,4410.00000000,570.00000000,15
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL0612,175,,,9745.96000000,1022.56666700,175
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1218,8355,,,1108306.48600000,156040.61040000,8358
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1824,2287,,,646852.83500000,119632.50000000,2285
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL2440,306,,,113443.41270000,26083.55455000,306
ITA,2020,4,0,GSA18,NA,NA,OTB,NA,OTB_DWS_>=40_0_0,NA,VL1218,147,,,19500.35424000,2745.06521700,147
